118	Hits to the miRBase database (Griffiths-Jones S. Nucleic Acids Res., 2004, 32 Database Issue D109-D111 or http://microrna.sanger.ac.uk)	BlastmiRNA	1
45	Homo sapiens ESTs from dbEST aligned to the genome using Exonerate (G. Slater et al., BMC Bioinformatics. 2005 6:31)	humanest	1	
5240	Genes were annotated by the Ensembl automatic analysis pipeline using either a GeneWise model from Uniprot human protein	humanprotein	1	
100	ncRNA genes are predicted using covariance models and sequences from <a href=http://www.sanger.ac.uk/Software/Rfam/index.shtml>RFAM<a> and <a href=http://microrna.sanger.ac.uk/sequences/index.shtml>miRBase<a>.	ncRNA	1	
112	Prediction of coiled-coil regions in peptides by Ncoils (A. N. Lupas et al., Science 1991 252:1162-1164)	ncoils	1	
5241	Uniprot proteins aligned to the genome with GeneWise (E.Birney et al., Genome Res. 2004 14:988-95)	otherprotein	1	
108	Hits to the PROSITE profiles database (protein family/domain models based on weight matrices; N. Hulu et al., Nuc. Acids. Res. 2004 32:D134-7). Part of the Interpro consortium (http://www.ebi.ac.uk/interpro/)	pfscan	1	
107	Hits to the PROSITE patterns database (protein family/domain models based on regular expressions; N. Hulu etal., Nuc. Acids. Res. 2004 32:D134-7). Part of the Interpro consortium (http://www.ebi.ac.uk/interpro/)	scanprosite	1	
8	Prediction of tRNAs in genomic sequence by tRNAscan-SE (T. Lowe et al., Nucleic Acids Res. 1997 25:955-64)	tRNAscan	1	
111	Prediction of transmembrane helices in peptides by TMHMM (A. Krogh et al., J. Mol. Biol. 2001 305:567-80)	tmhmm	1	
101	Genes were annotated by aligning Ig/TcR genes from the IMGT database (M.-P. Lefranc et al, NAR 2005 33:D593-D597) using Exonerate (G.Slater et al, BMC Bioinformatics. 2005 6:31)	ensemblIGgene	1	
102	Alignment of Ig/TcR genes from the IMGT database (M.-P. Lefranc et al, NAR 2005 33:D593-D597) using Exonerate (G.Slater et al. BMC Bioinformatics. 2005 6:31)	ExonerateIGgene	1	
5256	Density of SNP features on the sequence	snpDensity	1	
5257	Known gene density features in a database as calculated by gene_density_calc.pl	knownGeneDensity	1	
5259	Percentage of repetetive elements for top level seq_regions.	PercentageRepeat	1	
5260	Percentage of G/C bases in the sequence.	PercentGC	1	
